"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
2,6.79,6.79,0,0,0,1,2009,"1-1-2009"
9,5.89,6.79,1,0,1,2,2009,"1-2-2009"
37,5.065,6.79,3,1,0,3,2009,"1-3-2009"
11,6.79,6.79,0,0,0,4,2009,"1-4-2009"
11,6.915,6.915,0,0,0,5,2009,"1-5-2009"
11,6.305,6.79,0,0,1,6,2009,"1-6-2009"
11,5.56333333333333,6.79,0,0,3,7,2009,"1-7-2009"
7,6.35666666666667,7.12333333333333,0,0,1,8,2009,"1-8-2009"
17,5.99,7.29,0,0,3,9,2009,"1-9-2009"
14,5.57333333333333,7.29,1,0,2,10,2009,"1-10-2009"
7,6.49,6.49,0,0,0,11,2009,"1-11-2009"
13,6.49,6.49,0,0,0,12,2009,"1-12-2009"
22,4.82333333333333,6.49,2,1,0,1,2010,"1-1-2010"
3,6.49,6.49,0,0,0,2,2010,"1-2-2010"
6,5.99,6.49,1,0,0,3,2010,"1-3-2010"
11,5.9275,6.49,1,1,1,4,2010,"1-4-2010"
8,4.99,6.49,2,2,0,5,2010,"1-5-2010"
9,6.09,6.49,0,0,1,6,2010,"1-6-2010"
3,5.29,6.49,0,0,2,7,2010,"1-7-2010"
3,6.49,6.49,0,0,0,8,2010,"1-8-2010"
6,5.89,7.29,1,1,0,9,2010,"1-9-2010"
5,5.42333333333333,7.29,2,0,0,10,2010,"1-10-2010"
4,7.29,7.29,0,0,0,11,2010,"1-11-2010"
10,5.42333333333333,7.29,1,0,1,12,2010,"1-12-2010"
7,4.99,7.29,2,0,0,1,2011,"1-1-2011"
5,5.64,7.29,1,0,0,2,2011,"1-2-2011"
2,7.29,7.29,0,0,0,3,2011,"1-3-2011"
2,4.74,7.29,2,2,0,5,2011,"1-5-2011"
1,7.49,7.49,0,0,0,6,2011,"1-6-2011"
5,4.99,7.49,1,0,0,7,2011,"1-7-2011"
2,4.99,7.49,1,1,0,8,2011,"1-8-2011"
1,7.49,7.49,0,0,0,9,2011,"1-9-2011"
2,5.99,7.49,1,0,0,10,2011,"1-10-2011"
3,5.49,7.49,2,2,0,11,2011,"1-11-2011"
1,7.49,7.49,0,0,0,12,2011,"1-12-2011"
1,5,7.49,1,1,0,1,2012,"1-1-2012"
