"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
44,6.09333333333333,6.29333333333333,2,2,0,1,2009,"1-1-2009"
31,6.3575,6.3575,0,0,0,2,2009,"1-2-2009"
54,6.0775,6.0775,0,0,0,3,2009,"1-3-2009"
101,6.172,6.35,2,2,0,4,2009,"1-4-2009"
48,6.19,6.59,1,1,0,5,2009,"1-5-2009"
53,6.2125,6.59,1,0,0,6,2009,"1-6-2009"
98,5.94,6.544,2,2,0,7,2009,"1-7-2009"
64,6.59,6.59,0,2,0,8,2009,"1-8-2009"
118,5.752,6.59,2,2,0,9,2009,"1-9-2009"
70,5.575,6.59,0,2,0,10,2009,"1-10-2009"
50,6.04,6.59,2,1,0,11,2009,"1-11-2009"
60,6.382,6.59,1,1,0,12,2009,"1-12-2009"
77,6.19,6.59,1,1,0,1,2010,"1-1-2010"
44,6.59,6.59,0,1,0,2,2010,"1-2-2010"
179,4.922,6.59,3,3,0,3,2010,"1-3-2010"
31,6.59,6.59,0,0,0,4,2010,"1-4-2010"
27,6.59,6.59,0,0,0,5,2010,"1-5-2010"
89,5.968,6.59,2,3,0,6,2010,"1-6-2010"
52,6,6.59,1,1,0,7,2010,"1-7-2010"
71,5.8,6.59,2,2,0,8,2010,"1-8-2010"
92,4.978,6.59,1,1,4,9,2010,"1-9-2010"
107,5.19,6.59,2,2,1,10,2010,"1-10-2010"
41,6.3175,6.59,1,0,0,11,2010,"1-11-2010"
38,6.372,6.59,1,0,0,12,2010,"1-12-2010"
31,6.59,6.59,0,0,0,1,2011,"1-1-2011"
103,5.7725,6.545,1,2,0,2,2011,"1-2-2011"
141,5.17,6.59,4,4,0,3,2011,"1-3-2011"
30,6.1925,6.63,1,0,0,4,2011,"1-4-2011"
55,5.7,6.78,1,1,2,5,2011,"1-5-2011"
73,5.27,6.79,2,0,3,6,2011,"1-6-2011"
70,5.24,6.465,2,2,1,7,2011,"1-7-2011"
76,5.49,5.49,2,3,0,8,2011,"1-8-2011"
83,5.325,5.49,2,1,0,9,2011,"1-9-2011"
45,5.2725,5.2725,0,0,0,10,2011,"1-10-2011"
72,5.27,5.27,2,1,0,11,2011,"1-11-2011"
36,5.27,5.27,0,0,0,12,2011,"1-12-2011"
22,5,5.27,1,1,0,1,2012,"1-1-2012"
