"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
58,2.66333333333333,2.97,0,0,1,1,2009,"1-1-2009"
52,2.9475,2.9475,0,0,0,2,2009,"1-2-2009"
42,2.9075,2.9075,0,0,0,3,2009,"1-3-2009"
220,2.782,2.97,1,1,1,4,2009,"1-4-2009"
65,2.8075,2.97,1,0,0,5,2009,"1-5-2009"
69,2.8,2.97,1,0,0,6,2009,"1-6-2009"
71,2.85,2.85,0,0,0,7,2009,"1-7-2009"
242,2.7275,2.97,1,1,0,8,2009,"1-8-2009"
300,2.412,2.97,1,1,2,9,2009,"1-9-2009"
69,2.97,2.97,0,0,0,10,2009,"1-10-2009"
218,2.735,2.97,1,2,0,11,2009,"1-11-2009"
418,2.536,2.97,2,1,0,12,2009,"1-12-2009"
391,2.4225,2.97,1,0,1,1,2010,"1-1-2010"
48,2.97,2.97,0,0,0,2,2010,"1-2-2010"
46,2.97,2.97,0,0,0,3,2010,"1-3-2010"
40,2.94,2.94,0,0,0,4,2010,"1-4-2010"
45,2.97,2.97,0,0,0,5,2010,"1-5-2010"
55,2.97,2.97,0,0,0,6,2010,"1-6-2010"
49,2.97,2.97,0,0,0,7,2010,"1-7-2010"
260,3.3275,3.53,1,0,0,8,2010,"1-8-2010"
588,2.418,4.09,3,3,1,9,2010,"1-9-2010"
26,4.09,4.09,0,0,0,10,2010,"1-10-2010"
338,3.0425,4.09,1,0,1,11,2010,"1-11-2010"
57,3.12,4.09,0,0,3,12,2010,"1-12-2010"
23,4.255,4.255,0,0,0,1,2011,"1-1-2011"
252,2.9025,4.42,1,1,2,2,2011,"1-2-2011"
36,3.59,4.254,0,0,4,3,2011,"1-3-2011"
337,2.6775,3.5325,2,2,0,4,2011,"1-4-2011"
96,2.5575,3.59,0,1,3,5,2011,"1-5-2011"
32,3.19,3.43,0,0,3,6,2011,"1-6-2011"
16,2.69,3.19,0,0,2,7,2011,"1-7-2011"
6,2.59,3.19,0,0,1,8,2011,"1-8-2011"
7,1.99,3.19,1,0,0,9,2011,"1-9-2011"
