"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
31,6.05333333333333,6.28,2,0,0,1,2009,"1-1-2009"
35,6.365,6.365,0,0,0,2,2009,"1-2-2009"
35,6.09,6.09,0,0,0,3,2009,"1-3-2009"
56,6.182,6.23,2,3,0,4,2009,"1-4-2009"
38,6.19,6.59,1,0,0,5,2009,"1-5-2009"
49,6.13,6.49,1,0,0,6,2009,"1-6-2009"
57,6.002,6.59,2,1,0,7,2009,"1-7-2009"
33,6.59,6.59,0,0,0,8,2009,"1-8-2009"
95,5.776,6.59,2,1,0,9,2009,"1-9-2009"
60,5.5875,6.59,0,3,0,10,2009,"1-10-2009"
51,6.04,6.59,2,0,0,11,2009,"1-11-2009"
57,6.37,6.59,1,0,0,12,2009,"1-12-2009"
50,6.19,6.59,1,0,0,1,2010,"1-1-2010"
32,6.59,6.59,0,0,0,2,2010,"1-2-2010"
141,4.962,6.59,3,4,0,3,2010,"1-3-2010"
38,6.4575,6.4575,0,0,0,4,2010,"1-4-2010"
26,6.59,6.59,0,0,0,5,2010,"1-5-2010"
62,5.96,6.59,2,1,0,6,2010,"1-6-2010"
49,6.1675,6.59,1,1,0,7,2010,"1-7-2010"
71,5.81,6.59,2,1,0,8,2010,"1-8-2010"
96,4.954,6.59,1,0,4,9,2010,"1-9-2010"
94,5.18,6.59,2,1,1,10,2010,"1-10-2010"
39,6.3375,6.59,1,1,0,11,2010,"1-11-2010"
54,6.39,6.59,1,0,0,12,2010,"1-12-2010"
46,6.59,6.59,0,0,0,1,2011,"1-1-2011"
99,5.79,6.59,1,2,0,2,2011,"1-2-2011"
120,5.174,6.59,4,0,0,3,2011,"1-3-2011"
36,6.3075,6.6325,1,0,0,4,2011,"1-4-2011"
59,5.6275,6.7825,1,0,2,5,2011,"1-5-2011"
66,5.27,6.79,2,0,3,6,2011,"1-6-2011"
91,5.2425,6.465,2,2,1,7,2011,"1-7-2011"
104,5.49,5.49,2,0,0,8,2011,"1-8-2011"
91,5.4125,5.49,2,2,0,9,2011,"1-9-2011"
58,5.285,5.285,0,0,0,10,2011,"1-10-2011"
89,5.27,5.27,2,0,0,11,2011,"1-11-2011"
70,5.27,5.27,0,0,0,12,2011,"1-12-2011"
28,5,5.27,1,1,0,1,2012,"1-1-2012"
