"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
10,5.99,5.99,0,0,0,3,2011,"1-3-2011"
13,5.99,5.99,0,0,0,4,2011,"1-4-2011"
6,5.99,5.99,0,0,0,5,2011,"1-5-2011"
7,5.65666666666667,6.32333333333333,0,0,1,6,2011,"1-6-2011"
11,4.49,6.49,2,0,1,7,2011,"1-7-2011"
4,6.24,6.24,0,0,0,8,2011,"1-8-2011"
15,5.54,6.29,0,0,2,9,2011,"1-9-2011"
13,6.34,6.34,0,0,0,10,2011,"1-10-2011"
8,6.14,6.14,0,0,0,11,2011,"1-11-2011"
7,6.32333333333333,6.32333333333333,0,0,0,12,2011,"1-12-2011"
1,6.99,6.99,0,0,0,1,2012,"1-1-2012"
