"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
23,1.25666666666667,2.54,1,1,2,1,2009,"1-1-2009"
25,1.775,2.56,0,1,1,2,2009,"1-2-2009"
17,2.6675,2.6675,0,0,0,3,2009,"1-3-2009"
53,1.916,2.63,1,1,1,4,2009,"1-4-2009"
38,1.3125,2.62,0,3,1,5,2009,"1-5-2009"
41,1.3975,2.6725,1,1,2,6,2009,"1-6-2009"
35,0.978,2.69,0,3,2,7,2009,"1-7-2009"
75,1.295,2.69,1,2,2,8,2009,"1-8-2009"
57,1.564,2.02,1,1,1,9,2009,"1-9-2009"
47,1.255,1.4975,2,2,0,10,2009,"1-10-2009"
15,1.5475,1.4775,0,3,0,11,2009,"1-11-2009"
24,1.068,1.39,0,0,4,12,2009,"1-12-2009"
20,1.4425,1.5275,0,0,2,1,2010,"1-1-2010"
12,1.5675,1.5675,0,0,0,2,2010,"1-2-2010"
21,1.556,1.556,0,0,0,3,2010,"1-3-2010"
31,1.4125,1.5625,1,0,0,4,2010,"1-4-2010"
64,1.145,1.5525,1,1,2,5,2010,"1-5-2010"
25,1.444,1.546,0,0,1,6,2010,"1-6-2010"
14,1.0575,1.56,0,0,4,7,2010,"1-7-2010"
15,1.3725,1.56,1,1,1,8,2010,"1-8-2010"
47,1.084,1.576,0,3,1,9,2010,"1-9-2010"
20,1.565,1.565,0,0,0,10,2010,"1-10-2010"
15,1.5475,1.5475,0,0,0,11,2010,"1-11-2010"
33,1.062,1.54,0,0,5,12,2010,"1-12-2010"
26,1.265,1.4,0,0,1,1,2011,"1-1-2011"
22,1.5375,1.5375,0,0,0,2,2011,"1-2-2011"
30,1.548,1.548,0,0,0,3,2011,"1-3-2011"
16,1.4675,1.5275,0,0,1,4,2011,"1-4-2011"
35,1.0125,1.53,1,0,3,5,2011,"1-5-2011"
26,1.524,1.524,0,0,0,6,2011,"1-6-2011"
17,1.555,1.555,0,0,0,7,2011,"1-7-2011"
119,0.986,1.54,1,4,1,8,2011,"1-8-2011"
21,1.255,1.53,0,0,2,9,2011,"1-9-2011"
30,1.485,1.485,0,0,0,10,2011,"1-10-2011"
30,0.976,1.42,0,0,5,11,2011,"1-11-2011"
23,1.3825,1.4925,0,0,1,12,2011,"1-12-2011"
8,1.54,1.54,0,0,0,1,2012,"1-1-2012"
