"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
86,3.01666666666667,3.19,1,1,0,1,2009,"1-1-2009"
102,2.57,3.19,0,0,3,2,2009,"1-2-2009"
107,2.805,3.015,0,0,2,3,2009,"1-3-2009"
148,3.076,3.076,0,0,0,4,2009,"1-4-2009"
169,2.515,3.04,1,1,2,5,2009,"1-5-2009"
109,2.965,2.965,0,0,0,6,2009,"1-6-2009"
109,3.104,3.104,0,0,0,7,2009,"1-7-2009"
131,2.3175,3.19,1,1,3,8,2009,"1-8-2009"
105,3.04,3.04,0,0,0,9,2009,"1-9-2009"
143,2.93,3.05,1,1,0,10,2009,"1-10-2009"
138,2.5625,3.29,1,1,2,11,2009,"1-11-2009"
165,2.68,3.194,1,2,1,12,2009,"1-12-2009"
144,2.9675,3.1325,1,1,0,1,2010,"1-1-2010"
120,2.735,3.29,0,0,3,2,2010,"1-2-2010"
118,3.052,3.132,0,0,1,3,2010,"1-3-2010"
88,3.0475,3.1275,0,0,1,4,2010,"1-4-2010"
100,3.0775,3.29,0,0,2,5,2010,"1-5-2010"
122,3.056,3.056,0,0,0,6,2010,"1-6-2010"
83,3.2375,3.2375,0,0,0,7,2010,"1-7-2010"
83,2.83,3.29,0,0,3,8,2010,"1-8-2010"
117,3.202,3.202,0,0,0,9,2010,"1-9-2010"
107,3.29,3.29,0,0,0,10,2010,"1-10-2010"
289,2.87,3.2825,2,2,1,11,2010,"1-11-2010"
156,2.998,3.162,1,1,0,12,2010,"1-12-2010"
109,2.7975,3.1175,2,2,0,1,2011,"1-1-2011"
104,3.1575,3.1575,0,0,0,2,2011,"1-2-2011"
135,3.138,3.138,0,0,0,3,2011,"1-3-2011"
157,3.045,3.3425,2,2,0,4,2011,"1-4-2011"
107,2.885,3.33,0,0,3,5,2011,"1-5-2011"
133,3.07,3.07,0,0,0,6,2011,"1-6-2011"
202,2.88,3.27,2,2,0,7,2011,"1-7-2011"
129,3.184,3.264,0,0,1,8,2011,"1-8-2011"
122,3.1525,3.1525,0,0,0,9,2011,"1-9-2011"
123,3.0825,3.0825,0,0,0,10,2011,"1-10-2011"
249,2.62,3.19,2,1,1,11,2011,"1-11-2011"
118,3.12,3.12,0,0,0,12,2011,"1-12-2011"
30,2.98,2.98,0,0,0,1,2012,"1-1-2012"
