"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
85,1.03666666666667,1.25,1,3,0,1,2009,"1-1-2009"
65,1.145,1.1675,0,1,0,2,2009,"1-2-2009"
60,1.0775,1.12,1,0,0,3,2009,"1-3-2009"
66,1.134,1.134,0,0,0,4,2009,"1-4-2009"
63,1.0725,1.1525,0,0,2,5,2009,"1-5-2009"
214,0.97,1.14,0,3,1,6,2009,"1-6-2009"
181,0.968,1.14,0,4,1,7,2009,"1-7-2009"
43,0.9625,1.05,0,0,2,8,2009,"1-8-2009"
40,0.958,0.966,1,0,0,9,2009,"1-9-2009"
32,0.9625,0.9625,0,0,0,10,2009,"1-10-2009"
34,0.9725,0.9725,0,0,0,11,2009,"1-11-2009"
39,0.974,0.964,2,0,0,12,2009,"1-12-2009"
30,1.0425,1.0375,1,0,0,1,2010,"1-1-2010"
23,1.2125,1.2125,0,0,0,2,2010,"1-2-2010"
28,1.122,1.234,0,0,2,3,2010,"1-3-2010"
19,1.1675,1.225,0,0,1,4,2010,"1-4-2010"
24,1.1675,1.23,0,3,1,5,2010,"1-5-2010"
29,1.212,1.224,0,1,0,6,2010,"1-6-2010"
17,1.2075,1.2075,0,0,0,7,2010,"1-7-2010"
12,1.1475,1.235,0,0,2,8,2010,"1-8-2010"
36,1.166,1.224,1,0,0,9,2010,"1-9-2010"
29,1.2225,1.235,0,1,0,10,2010,"1-10-2010"
10,1.23,1.23,0,0,0,11,2010,"1-11-2010"
26,1.18,1.226,0,0,1,12,2010,"1-12-2010"
29,1.1075,1.235,1,1,1,1,2011,"1-1-2011"
12,0.9725,1.25,0,0,4,2,2011,"1-2-2011"
35,0.972,1.026,0,0,1,3,2011,"1-3-2011"
21,1.16,1.16,0,0,0,4,2011,"1-4-2011"
18,1.2425,1.2425,0,0,0,5,2011,"1-5-2011"
24,1.23,1.23,0,0,0,6,2011,"1-6-2011"
13,1.135,1.1675,0,0,1,7,2011,"1-7-2011"
13,1.128,1.194,0,0,2,8,2011,"1-8-2011"
9,1.19333333333333,1.25,0,0,1,9,2011,"1-9-2011"
26,1.2225,1.2225,0,0,0,10,2011,"1-10-2011"
30,1.226,1.226,0,0,0,11,2011,"1-11-2011"
27,1.235,1.235,0,0,0,12,2011,"1-12-2011"
7,1.18,1.18,0,0,0,1,2012,"1-1-2012"
