"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
202,1.97333333333333,1.86333333333333,0,1,0,1,2009,"1-1-2009"
194,2.12,2.12,0,0,0,2,2009,"1-2-2009"
208,2.3425,2.3425,0,0,0,3,2009,"1-3-2009"
321,1.97,2.34,0,2,3,4,2009,"1-4-2009"
213,2.1475,2.3375,1,3,0,5,2009,"1-5-2009"
281,2.2375,2.3325,0,1,0,6,2009,"1-6-2009"
372,1.982,2.35,0,3,2,7,2009,"1-7-2009"
209,2.3375,2.3375,0,0,0,8,2009,"1-8-2009"
333,2.194,2.344,0,1,1,9,2009,"1-9-2009"
350,2.165,2.3575,0,3,0,10,2009,"1-10-2009"
228,2.3225,2.3225,0,0,0,11,2009,"1-11-2009"
249,2.052,2.36,1,3,1,12,2009,"1-12-2009"
256,1.975,2.36,0,0,4,1,2010,"1-1-2010"
276,2.3375,2.3375,0,0,0,2,2010,"1-2-2010"
283,2.13,2.346,0,0,3,3,2010,"1-3-2010"
314,1.965,2.2575,0,0,3,4,2010,"1-4-2010"
305,1.955,1.945,1,2,0,5,2010,"1-5-2010"
348,2.006,2.026,1,0,0,6,2010,"1-6-2010"
202,2.3275,2.3275,0,0,0,7,2010,"1-7-2010"
259,2.2325,2.3325,1,1,0,8,2010,"1-8-2010"
377,2.044,2.322,0,0,4,9,2010,"1-9-2010"
337,1.965,2.37,1,0,3,10,2010,"1-10-2010"
259,1.9625,2.2625,0,0,3,11,2010,"1-11-2010"
324,1.966,1.966,0,0,0,12,2010,"1-12-2010"
250,1.9675,1.9675,0,0,0,1,2011,"1-1-2011"
153,2.3075,2.3075,0,0,0,2,2011,"1-2-2011"
267,2.452,2.452,0,0,0,3,2011,"1-3-2011"
331,1.9675,2.44,0,0,4,4,2011,"1-4-2011"
307,2.33,2.44,1,1,0,5,2011,"1-5-2011"
361,2.166,2.422,2,1,1,6,2011,"1-6-2011"
198,2.45,2.45,0,0,0,7,2011,"1-7-2011"
195,2.304,2.374,0,0,1,8,2011,"1-8-2011"
196,2.455,2.455,0,0,0,9,2011,"1-9-2011"
228,2.45,2.45,0,0,0,10,2011,"1-10-2011"
304,2.14,2.43,0,0,3,11,2011,"1-11-2011"
193,2.295,2.41,0,0,1,12,2011,"1-12-2011"
8,2.45,2.45,0,0,0,1,2012,"1-1-2012"
