"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
18,2.5,2.5,0,0,0,7,2009,"1-7-2009"
79,2.3725,2.4925,1,1,0,8,2009,"1-8-2009"
64,2.5,2.5,0,0,0,9,2009,"1-9-2009"
133,2.5,2.5,1,1,0,10,2009,"1-10-2009"
44,2.5,2.5,0,0,0,11,2009,"1-11-2009"
78,2.39,2.5,2,1,0,12,2009,"1-12-2009"
58,2.2775,2.5,1,0,1,1,2010,"1-1-2010"
34,2.5,2.5,0,0,0,2,2010,"1-2-2010"
47,2.5,2.5,0,0,0,3,2010,"1-3-2010"
108,2.41,2.5,1,1,0,4,2010,"1-4-2010"
54,2.5,2.5,0,0,0,5,2010,"1-5-2010"
248,2.108,2.5,2,2,0,6,2010,"1-6-2010"
185,1.985,2.48,0,2,0,7,2010,"1-7-2010"
48,2.5,2.5,0,0,0,8,2010,"1-8-2010"
117,2.4,2.5,1,0,0,9,2010,"1-9-2010"
107,2.205,2.415,2,2,0,10,2010,"1-10-2010"
56,2.5,2.5,0,0,0,11,2010,"1-11-2010"
59,2.5,2.5,0,0,0,12,2010,"1-12-2010"
43,2.5,2.5,0,0,0,1,2011,"1-1-2011"
44,2.5,2.5,0,0,0,2,2011,"1-2-2011"
58,2.468,2.468,0,0,0,3,2011,"1-3-2011"
101,2.2425,2.5,2,1,0,4,2011,"1-4-2011"
38,2.5,2.5,0,0,0,5,2011,"1-5-2011"
116,2.392,2.5,1,3,0,6,2011,"1-6-2011"
55,2.67,2.67,0,0,0,7,2011,"1-7-2011"
80,2.88,2.88,0,0,0,8,2011,"1-8-2011"
72,2.7725,2.8625,1,1,0,9,2011,"1-9-2011"
46,2.88,2.88,0,0,0,10,2011,"1-10-2011"
93,2.86,2.86,0,0,0,11,2011,"1-11-2011"
43,2.88,2.88,0,0,0,12,2011,"1-12-2011"
20,2.31,2.88,0,0,1,1,2012,"1-1-2012"
