"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
179,3.35,4,1,0,2,1,2009,"1-1-2009"
116,3.8075,3.9725,0,0,1,2,2009,"1-2-2009"
42,4,4,0,0,0,3,2009,"1-3-2009"
188,3.568,3.972,1,2,1,4,2009,"1-4-2009"
180,3.6225,3.9525,2,1,0,5,2009,"1-5-2009"
33,3.98,3.98,0,0,0,6,2009,"1-6-2009"
77,3.96,3.96,0,0,0,7,2009,"1-7-2009"
95,3.7975,3.9025,1,0,0,8,2009,"1-8-2009"
85,4.23,4.628,0,1,2,9,2009,"1-9-2009"
26,4.76666666666667,4.76666666666667,0,0,0,10,2009,"1-10-2009"
16,4.8775,4.8775,0,0,0,11,2009,"1-11-2009"
248,3.658,4.776,2,1,0,12,2009,"1-12-2009"
158,3.4525,4.845,1,0,2,1,2010,"1-1-2010"
32,4.745,4.745,0,0,0,2,2010,"1-2-2010"
19,4.49,4.615,0,0,1,3,2010,"1-3-2010"
109,3.9275,4.6125,0,3,0,4,2010,"1-4-2010"
48,4.5925,4.5925,0,0,0,5,2010,"1-5-2010"
35,4.69,4.69,0,0,0,6,2010,"1-6-2010"
44,4.1375,4.67,0,0,3,7,2010,"1-7-2010"
60,3.86,4.43,0,0,3,8,2010,"1-8-2010"
51,3.848,3.848,0,0,0,9,2010,"1-9-2010"
83,3.195,3.88,0,0,4,10,2010,"1-10-2010"
78,3.2575,3.5725,0,0,2,11,2010,"1-11-2010"
150,3.294,3.294,1,1,0,12,2010,"1-12-2010"
99,4.2025,4.2075,0,1,0,1,2011,"1-1-2011"
120,4.1325,5.0225,1,2,0,2,2011,"1-2-2011"
101,3.554,5.02,0,1,4,3,2011,"1-3-2011"
71,3.9575,4.2325,0,0,1,4,2011,"1-4-2011"
67,4.4575,4.9575,1,1,1,5,2011,"1-5-2011"
105,3.87,5.29,1,1,4,6,2011,"1-6-2011"
125,3.59,5.29,0,3,1,7,2011,"1-7-2011"
93,3.962,3.962,0,0,0,8,2011,"1-8-2011"
61,3.955,3.955,0,0,0,9,2011,"1-9-2011"
69,3.9125,3.9125,0,0,0,10,2011,"1-10-2011"
105,3.91,3.91,0,0,0,11,2011,"1-11-2011"
82,3.8925,3.8925,0,0,0,12,2011,"1-12-2011"
65,3.36,3.89,1,1,0,1,2012,"1-1-2012"
