"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
45,3.38,3.38,0,0,0,1,2009,"1-1-2009"
109,3.38,3.38,0,0,0,2,2009,"1-2-2009"
144,2.93,3.375,2,0,0,3,2009,"1-3-2009"
120,3.202,3.38,0,0,1,4,2009,"1-4-2009"
233,3.0325,3.38,1,1,0,5,2009,"1-5-2009"
98,3.38,3.38,0,0,0,6,2009,"1-6-2009"
139,3.124,3.38,2,0,0,7,2009,"1-7-2009"
123,3.38,3.38,0,0,0,8,2009,"1-8-2009"
102,3.38,3.38,0,0,0,9,2009,"1-9-2009"
116,3.38,3.38,0,0,0,10,2009,"1-10-2009"
117,3.165,3.38,1,0,0,11,2009,"1-11-2009"
183,2.716,3.38,1,0,3,12,2009,"1-12-2009"
103,3.38,3.38,0,0,0,1,2010,"1-1-2010"
87,3.38,3.38,0,0,0,2,2010,"1-2-2010"
252,2.96,3.38,3,0,0,3,2010,"1-3-2010"
92,3.38,3.38,0,0,0,4,2010,"1-4-2010"
125,3.16,3.38,0,0,1,5,2010,"1-5-2010"
272,3.03,3.38,2,1,1,6,2010,"1-6-2010"
151,2.89,3.19,1,0,0,7,2010,"1-7-2010"
148,3.19,3.19,0,0,0,8,2010,"1-8-2010"
108,3.19,3.19,0,0,0,9,2010,"1-9-2010"
119,2.9375,3.19,0,0,2,10,2010,"1-10-2010"
130,2.51,3.19,0,0,4,11,2010,"1-11-2010"
118,3.082,3.082,0,0,0,12,2010,"1-12-2010"
94,3.175,3.175,0,0,0,1,2011,"1-1-2011"
141,2.8425,3.1825,1,2,0,2,2011,"1-2-2011"
173,3.046,3.182,0,1,0,3,2011,"1-3-2011"
85,3.33,3.33,0,0,0,4,2011,"1-4-2011"
110,3.345,3.345,0,0,0,5,2011,"1-5-2011"
306,2.994,3.288,2,2,0,6,2011,"1-6-2011"
106,3.3575,3.3575,0,0,0,7,2011,"1-7-2011"
139,3.36,3.36,0,0,0,8,2011,"1-8-2011"
110,3.36,3.36,0,0,0,9,2011,"1-9-2011"
96,3.36,3.36,0,0,0,10,2011,"1-10-2011"
122,3.36,3.36,0,0,0,11,2011,"1-11-2011"
84,3.36,3.36,0,0,0,12,2011,"1-12-2011"
20,3.36,3.36,0,0,0,1,2012,"1-1-2012"
