"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
15,2.5,2.5,0,1,0,1,2009,"1-1-2009"
21,2.8175,2.6,0,3,0,2,2009,"1-2-2009"
33,2.69,2.89,0,0,2,3,2009,"1-3-2009"
39,2.81,2.89,0,5,0,4,2009,"1-4-2009"
37,2.89,2.89,0,3,0,5,2009,"1-5-2009"
34,2.6,2.78,0,2,1,6,2009,"1-6-2009"
35,2.808,2.78,1,5,0,7,2009,"1-7-2009"
31,2.865,2.9375,0,0,1,8,2009,"1-8-2009"
38,2.598,2.99,0,0,4,9,2009,"1-9-2009"
17,2.96,2.96,0,0,0,10,2009,"1-10-2009"
39,2.6325,2.9,2,2,1,11,2009,"1-11-2009"
33,2.676,2.934,0,0,3,12,2009,"1-12-2009"
16,2.6575,2.8725,0,0,2,1,2010,"1-1-2010"
25,2.615,2.99,1,2,0,2,2010,"1-2-2010"
44,2.79,2.99,2,2,0,3,2010,"1-3-2010"
16,2.8825,2.99,0,0,1,4,2010,"1-4-2010"
21,2.99,2.99,0,0,0,5,2010,"1-5-2010"
33,2.5,2.99,0,1,4,6,2010,"1-6-2010"
30,2.7225,2.9725,1,0,1,7,2010,"1-7-2010"
26,2.7425,2.99,0,0,2,8,2010,"1-8-2010"
34,2.71,2.99,1,1,2,9,2010,"1-9-2010"
17,2.99,2.99,0,0,0,10,2010,"1-10-2010"
21,2.615,2.99,0,0,3,11,2010,"1-11-2010"
20,2.978,2.978,0,0,0,12,2010,"1-12-2010"
28,2.69,2.69,0,0,0,1,2011,"1-1-2011"
20,2.5725,2.5725,0,0,0,2,2011,"1-2-2011"
27,2.69,2.49,0,4,0,3,2011,"1-3-2011"
12,2.99,2.865,0,1,0,4,2011,"1-4-2011"
24,2.5575,3.065,0,3,0,5,2011,"1-5-2011"
20,3.29,3.29,0,2,0,6,2011,"1-6-2011"
18,2.725,3.29,0,2,2,7,2011,"1-7-2011"
22,3.054,3.29,0,5,0,8,2011,"1-8-2011"
18,3.14,3.29,0,3,0,9,2011,"1-9-2011"
15,3.29,3.29,0,4,0,10,2011,"1-10-2011"
13,3.05,3.29,0,2,1,11,2011,"1-11-2011"
21,3.14,3.29,0,3,0,12,2011,"1-12-2011"
2,3.29,3.29,0,1,0,1,2012,"1-1-2012"
