"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
212,2.64666666666667,2.97,0,0,1,1,2009,"1-1-2009"
158,2.97,2.97,0,0,0,2,2009,"1-2-2009"
149,2.96,2.96,0,0,0,3,2009,"1-3-2009"
302,2.782,2.962,1,1,1,4,2009,"1-4-2009"
208,2.8,2.97,1,1,0,5,2009,"1-5-2009"
223,2.7925,2.965,1,1,0,6,2009,"1-6-2009"
176,2.86,2.914,0,1,0,7,2009,"1-7-2009"
320,2.725,2.97,1,1,0,8,2009,"1-8-2009"
464,2.386,2.97,1,3,0,9,2009,"1-9-2009"
161,2.97,2.97,0,0,0,10,2009,"1-10-2009"
268,2.74,2.97,1,1,1,11,2009,"1-11-2009"
392,2.538,2.97,2,0,0,12,2009,"1-12-2009"
253,2.41,2.955,1,1,0,1,2010,"1-1-2010"
93,2.97,2.97,0,0,0,2,2010,"1-2-2010"
113,2.97,2.97,0,0,0,3,2010,"1-3-2010"
99,2.97,2.97,0,0,0,4,2010,"1-4-2010"
130,2.97,2.97,0,0,0,5,2010,"1-5-2010"
152,2.97,2.97,0,0,0,6,2010,"1-6-2010"
105,2.97,2.97,0,0,0,7,2010,"1-7-2010"
263,3.1975,3.36,1,0,0,8,2010,"1-8-2010"
494,2.366,4.09,3,1,1,9,2010,"1-9-2010"
59,4.09,4.09,0,0,0,10,2010,"1-10-2010"
258,2.89,4.09,1,1,2,11,2010,"1-11-2010"
187,3.252,4.09,0,2,0,12,2010,"1-12-2010"
44,4.22,4.22,0,0,0,1,2011,"1-1-2011"
375,2.9475,4.42,1,1,2,2,2011,"1-2-2011"
93,3.58,4.244,0,0,4,3,2011,"1-3-2011"
367,2.585,3.5525,2,2,1,4,2011,"1-4-2011"
137,2.605,3.25,0,1,2,5,2011,"1-5-2011"
75,3.19,3.19,0,0,0,6,2011,"1-6-2011"
29,2.85666666666667,3.19,0,0,1,7,2011,"1-7-2011"
8,1.99,3.19,0,0,1,8,2011,"1-8-2011"
1,1.99,3.19,1,0,0,9,2011,"1-9-2011"
