"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
40,6.09,6.29,2,2,0,1,2009,"1-1-2009"
29,6.34,6.34,0,2,0,2,2009,"1-2-2009"
31,6.065,6.065,0,3,0,3,2009,"1-3-2009"
71,5.97,5.99,2,4,0,4,2009,"1-4-2009"
50,6.04,5.99,1,4,0,5,2009,"1-5-2009"
51,6.04,5.99,1,4,0,6,2009,"1-6-2009"
94,6.25,5.99,2,5,0,7,2009,"1-7-2009"
11,7.49,7.115,0,3,0,8,2009,"1-8-2009"
191,6.09,7.49,2,4,0,9,2009,"1-9-2009"
97,5.73,7.49,0,4,0,10,2009,"1-10-2009"
114,5.99,7.49,1,4,0,11,2009,"1-11-2009"
82,6.542,7.49,0,5,0,12,2009,"1-12-2009"
77,6.49,6.99,1,3,0,1,2010,"1-1-2010"
49,6.99,6.99,0,0,0,2,2010,"1-2-2010"
234,4.998,6.99,4,3,0,3,2010,"1-3-2010"
27,6.99,6.99,0,1,0,4,2010,"1-4-2010"
25,6.99,6.99,0,1,0,5,2010,"1-5-2010"
97,6.19,6.99,2,4,0,6,2010,"1-6-2010"
44,6.4825,6.99,1,2,0,7,2010,"1-7-2010"
105,5.99,6.99,2,3,0,8,2010,"1-8-2010"
140,4.964,6.99,1,2,3,9,2010,"1-9-2010"
140,5.26,6.99,2,2,1,10,2010,"1-10-2010"
43,6.6175,6.99,1,4,0,11,2010,"1-11-2010"
58,6.692,6.99,1,5,0,12,2010,"1-12-2010"
39,6.99,6.99,0,4,0,1,2011,"1-1-2011"
122,6.04,6.99,1,4,0,2,2011,"1-2-2011"
229,5.278,6.99,4,4,0,3,2011,"1-3-2011"
40,7.19,6.99,0,4,0,4,2011,"1-4-2011"
50,6.3425,6.99,1,3,0,5,2011,"1-5-2011"
94,6.268,6.99,2,5,0,6,2011,"1-6-2011"
96,5.79,6.79,2,1,0,7,2011,"1-7-2011"
66,5.64,6.59,2,3,2,8,2011,"1-8-2011"
121,5.1875,6.59,2,3,1,9,2011,"1-9-2011"
42,5.72,6.195,0,0,2,10,2011,"1-10-2011"
79,5.796,6.032,2,2,0,11,2011,"1-11-2011"
31,6.49,6.49,0,0,0,12,2011,"1-12-2011"
44,5.07,6.49,1,1,0,1,2012,"1-1-2012"
