"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
100,2.77666666666667,2.98,2,0,0,1,2009,"1-1-2009"
57,2.98,2.98,0,0,0,2,2009,"1-2-2009"
264,2.7225,2.9275,2,1,0,3,2009,"1-3-2009"
74,2.882,2.966,0,1,0,4,2009,"1-4-2009"
41,2.9525,2.9525,0,0,0,5,2009,"1-5-2009"
247,2.7425,2.975,2,2,0,6,2009,"1-6-2009"
74,2.98,2.98,0,0,0,7,2009,"1-7-2009"
205,2.805,2.875,1,2,0,8,2009,"1-8-2009"
141,2.98,2.952,0,1,0,9,2009,"1-9-2009"
81,2.98,2.98,0,0,0,10,2009,"1-10-2009"
97,2.8375,2.93,1,1,0,11,2009,"1-11-2009"
330,2.312,2.88,3,5,0,12,2009,"1-12-2009"
103,2.975,2.975,0,0,0,1,2010,"1-1-2010"
88,2.935,2.935,0,0,0,2,2010,"1-2-2010"
269,2.87,2.93,0,1,0,3,2010,"1-3-2010"
232,2.6875,2.9,1,1,0,4,2010,"1-4-2010"
461,2.2175,2.82,2,4,0,5,2010,"1-5-2010"
186,2.776,2.976,1,2,1,6,2010,"1-6-2010"
136,2.98,2.98,0,0,0,7,2010,"1-7-2010"
94,2.98,2.98,0,0,0,8,2010,"1-8-2010"
115,2.98,2.98,0,0,0,9,2010,"1-9-2010"
183,2.4725,2.9625,2,2,0,10,2010,"1-10-2010"
90,2.98,2.98,0,0,0,11,2010,"1-11-2010"
125,2.98,2.98,0,0,0,12,2010,"1-12-2010"
127,2.98,2.98,0,0,0,1,2011,"1-1-2011"
253,2.685,2.925,2,1,0,2,2011,"1-2-2011"
252,2.926,2.98,1,1,0,3,2011,"1-3-2011"
77,2.97,2.97,0,0,0,4,2011,"1-4-2011"
511,1.9875,2.98,3,2,1,5,2011,"1-5-2011"
104,2.846,2.846,0,0,0,6,2011,"1-6-2011"
271,2.49,2.98,2,2,0,7,2011,"1-7-2011"
94,2.98,2.98,0,0,0,8,2011,"1-8-2011"
97,2.98,2.98,0,0,0,9,2011,"1-9-2011"
76,2.98,2.98,0,0,0,10,2011,"1-10-2011"
84,3.036,3.056,1,1,0,11,2011,"1-11-2011"
361,2.57,3.16,2,2,0,12,2011,"1-12-2011"
28,3.12,3.12,0,0,0,1,2012,"1-1-2012"
