"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
26,2.5,2.5,0,0,0,7,2009,"1-7-2009"
123,2.37,2.495,1,0,0,8,2009,"1-8-2009"
85,2.5,2.5,0,0,0,9,2009,"1-9-2009"
148,2.5,2.5,1,1,0,10,2009,"1-10-2009"
87,2.5,2.5,0,0,0,11,2009,"1-11-2009"
133,2.396,2.492,2,1,0,12,2009,"1-12-2009"
105,2.255,2.48,1,1,1,1,2010,"1-1-2010"
49,2.5,2.5,0,0,0,2,2010,"1-2-2010"
79,2.5,2.5,0,0,0,3,2010,"1-3-2010"
178,2.355,2.5,1,1,0,4,2010,"1-4-2010"
58,2.5,2.5,0,0,0,5,2010,"1-5-2010"
334,2.014,2.5,2,2,1,6,2010,"1-6-2010"
256,2.0025,2.5,0,2,0,7,2010,"1-7-2010"
80,2.5,2.5,0,0,0,8,2010,"1-8-2010"
111,2.396,2.5,1,1,0,9,2010,"1-9-2010"
149,2.2425,2.4925,2,2,0,10,2010,"1-10-2010"
63,2.5,2.5,0,0,0,11,2010,"1-11-2010"
69,2.5,2.5,0,0,0,12,2010,"1-12-2010"
56,2.5,2.5,0,0,0,1,2011,"1-1-2011"
44,2.4375,2.5,0,0,1,2,2011,"1-2-2011"
36,2.846,2.846,0,0,0,3,2011,"1-3-2011"
54,2.505,2.99,2,2,0,4,2011,"1-4-2011"
20,2.8975,2.99,0,0,1,5,2011,"1-5-2011"
79,2.792,2.99,1,1,0,6,2011,"1-6-2011"
38,2.99,2.99,0,0,0,7,2011,"1-7-2011"
55,2.84,2.99,0,0,1,8,2011,"1-8-2011"
70,2.79,2.9025,1,1,0,9,2011,"1-9-2011"
21,2.99,2.99,0,0,0,10,2011,"1-10-2011"
39,2.892,2.892,0,0,0,11,2011,"1-11-2011"
43,2.79,2.79,0,0,0,12,2011,"1-12-2011"
24,2.11,2.61,0,0,1,1,2012,"1-1-2012"
