"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
21,6.04,6.04,0,0,0,3,2011,"1-3-2011"
39,5.99,5.99,0,0,0,4,2011,"1-4-2011"
22,5.99,5.99,0,0,0,5,2011,"1-5-2011"
73,6.01,6.41,0,1,0,6,2011,"1-6-2011"
69,4.94,6.415,0,3,0,7,2011,"1-7-2011"
27,6.32,6.32,0,0,0,8,2011,"1-8-2011"
53,5.5175,6.24,0,0,2,9,2011,"1-9-2011"
40,5.99,5.99,0,0,0,10,2011,"1-10-2011"
41,6.352,6.352,0,0,0,11,2011,"1-11-2011"
25,6.7525,6.7525,0,0,0,12,2011,"1-12-2011"
5,6.99,6.99,0,0,0,1,2012,"1-1-2012"
