"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
55,2.51,2.71666666666667,0,0,2,1,2009,"1-1-2009"
43,2.8,2.8,0,0,0,2,2009,"1-2-2009"
42,2.6975,2.89,0,0,2,3,2009,"1-3-2009"
39,2.81,2.89,0,0,1,4,2009,"1-4-2009"
36,2.89,2.89,0,0,0,5,2009,"1-5-2009"
57,2.58,2.82,0,0,3,6,2009,"1-6-2009"
95,2.752,2.944,1,2,0,7,2009,"1-7-2009"
44,2.865,2.99,0,0,1,8,2009,"1-8-2009"
59,2.59,2.91,0,0,4,9,2009,"1-9-2009"
47,2.9025,2.9025,0,0,0,10,2009,"1-10-2009"
107,2.6225,2.8925,2,2,1,11,2009,"1-11-2009"
86,2.65,2.83,0,0,3,12,2009,"1-12-2009"
74,2.71,2.86,0,0,2,1,2010,"1-1-2010"
122,2.6175,2.99,1,3,0,2,2010,"1-2-2010"
110,2.792,2.99,2,0,0,3,2010,"1-3-2010"
54,2.865,2.99,0,0,1,4,2010,"1-4-2010"
58,2.99,2.99,0,0,0,5,2010,"1-5-2010"
140,2.506,2.99,0,2,3,6,2010,"1-6-2010"
89,2.69,2.99,1,1,1,7,2010,"1-7-2010"
95,2.7475,2.99,0,2,1,8,2010,"1-8-2010"
122,2.696,2.99,1,3,0,9,2010,"1-9-2010"
53,2.99,2.99,0,0,0,10,2010,"1-10-2010"
92,2.615,2.99,0,1,2,11,2010,"1-11-2010"
100,2.914,2.914,0,0,0,12,2010,"1-12-2010"
95,2.69,2.69,0,3,0,1,2011,"1-1-2011"
81,2.545,2.54,0,2,0,2,2011,"1-2-2011"
97,2.694,2.69,0,2,0,3,2011,"1-3-2011"
65,2.99,2.99,0,0,0,4,2011,"1-4-2011"
81,2.6225,3.065,0,0,3,5,2011,"1-5-2011"
81,3.29,3.29,0,0,0,6,2011,"1-6-2011"
90,2.775,3.21,0,3,0,7,2011,"1-7-2011"
128,3.03,3.278,0,2,0,8,2011,"1-8-2011"
77,3.1325,3.2775,0,0,1,9,2011,"1-9-2011"
74,3.29,3.29,0,0,0,10,2011,"1-10-2011"
64,3.05,3.29,0,0,2,11,2011,"1-11-2011"
111,3.1275,3.2775,0,0,1,12,2011,"1-12-2011"
19,3.29,3.29,0,0,0,1,2012,"1-1-2012"
