"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
15,1.83333333333333,1.83333333333333,0,0,0,1,2009,"1-1-2009"
33,1.7525,1.8775,0,0,2,2,2009,"1-2-2009"
51,1.615,1.89,0,0,4,3,2009,"1-3-2009"
44,1.82,1.82,0,0,0,4,2009,"1-4-2009"
65,1.62,1.86,1,0,3,5,2009,"1-5-2009"
67,1.6725,1.835,0,0,3,6,2009,"1-6-2009"
61,1.82,1.82,0,0,0,7,2009,"1-7-2009"
71,1.625,1.63,1,0,0,8,2009,"1-8-2009"
80,1.7,1.7,0,0,0,9,2009,"1-9-2009"
63,1.8375,1.8375,0,0,0,10,2009,"1-10-2009"
64,1.84,1.84,0,0,0,11,2009,"1-11-2009"
62,1.826,1.826,0,0,0,12,2009,"1-12-2009"
44,1.8675,1.8675,0,0,0,1,2010,"1-1-2010"
59,1.655,1.655,0,0,0,2,2010,"1-2-2010"
55,1.768,1.768,0,0,0,3,2010,"1-3-2010"
49,1.8175,1.8175,0,0,0,4,2010,"1-4-2010"
32,1.8425,1.8425,0,0,0,5,2010,"1-5-2010"
58,1.822,1.822,0,0,0,6,2010,"1-6-2010"
38,1.8125,1.8125,0,0,0,7,2010,"1-7-2010"
38,1.82,1.82,0,0,0,8,2010,"1-8-2010"
43,1.714,1.752,0,0,1,9,2010,"1-9-2010"
51,1.6375,1.6375,0,0,0,10,2010,"1-10-2010"
51,1.62,1.62,0,0,0,11,2010,"1-11-2010"
46,1.618,1.618,0,0,0,12,2010,"1-12-2010"
40,1.6325,1.6325,0,0,0,1,2011,"1-1-2011"
49,1.76,1.76,0,0,0,2,2011,"1-2-2011"
56,1.66,1.66,2,0,0,3,2011,"1-3-2011"
34,1.8475,1.8475,0,0,0,4,2011,"1-4-2011"
42,1.8175,1.8175,0,0,0,5,2011,"1-5-2011"
26,1.814,1.814,0,0,0,6,2011,"1-6-2011"
25,1.7525,1.8525,1,0,1,7,2011,"1-7-2011"
50,1.614,1.84,0,0,4,8,2011,"1-8-2011"
35,1.77,1.77,0,0,0,9,2011,"1-9-2011"
43,1.6125,1.6025,1,2,0,10,2011,"1-10-2011"
34,1.77,1.83,0,0,1,11,2011,"1-11-2011"
23,1.66,1.66,0,0,0,12,2011,"1-12-2011"
2,1.25,1.67,0,0,1,1,2012,"1-1-2012"
