"UNITS","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","MONTH","YEAR","DATE"
23,2.76,2.89,0,0,1,1,2009,"1-1-2009"
10,2.5,2.89,0,0,1,2,2009,"1-2-2009"
43,2.89,2.89,0,0,0,8,2009,"1-8-2009"
60,2.89,2.89,0,0,0,9,2009,"1-9-2009"
53,2.89,2.89,0,0,0,10,2009,"1-10-2009"
56,2.89,2.89,0,0,0,11,2009,"1-11-2009"
99,2.89,2.89,0,0,0,12,2009,"1-12-2009"
59,2.89,2.89,0,0,0,1,2010,"1-1-2010"
71,2.965,2.965,0,0,0,2,2010,"1-2-2010"
62,2.99,2.99,0,0,0,3,2010,"1-3-2010"
63,2.99,2.99,0,0,0,4,2010,"1-4-2010"
60,2.99,2.99,0,0,0,5,2010,"1-5-2010"
83,2.99,2.99,0,0,0,6,2010,"1-6-2010"
57,2.99,2.99,0,0,0,7,2010,"1-7-2010"
105,2.74,2.99,1,1,0,8,2010,"1-8-2010"
120,2.558,2.99,3,1,0,9,2010,"1-9-2010"
69,2.99,2.99,0,0,0,10,2010,"1-10-2010"
58,2.99,2.99,0,0,0,11,2010,"1-11-2010"
99,2.99,2.99,0,0,0,12,2010,"1-12-2010"
70,2.8075,2.99,1,1,0,1,2011,"1-1-2011"
76,2.3825,2.99,2,3,0,2,2011,"1-2-2011"
48,2.99,2.99,0,0,0,3,2011,"1-3-2011"
50,2.72,2.97,1,0,0,4,2011,"1-4-2011"
64,2.74,2.99,0,2,0,5,2011,"1-5-2011"
46,2.99,2.99,0,0,0,6,2011,"1-6-2011"
47,3.135,3.135,0,0,0,7,2011,"1-7-2011"
50,3.218,3.284,0,0,1,8,2011,"1-8-2011"
45,3.29,3.29,0,0,0,9,2011,"1-9-2011"
38,3.29,3.29,0,0,0,10,2011,"1-10-2011"
48,3.158,3.29,0,0,1,11,2011,"1-11-2011"
48,3.235,3.235,0,0,0,12,2011,"1-12-2011"
10,2.96,3.29,0,0,1,1,2012,"1-1-2012"
